FIPS	State_FIPS	County_FIPS	State_Name	County_Name	State_Abbrev
01003	01	003	Alabama	Baldwin County	AL
01005	01	005	Alabama	Barbour County	AL
01007	01	007	Alabama	Bibb County	AL
01009	01	009	Alabama	Blount County	AL
01011	01	011	Alabama	Bullock County	AL
01013	01	013	Alabama	Butler County	AL
01015	01	015	Alabama	Calhoun County	AL
01017	01	017	Alabama	Chambers County	AL
01019	01	019	Alabama	Cherokee County	AL
01021	01	021	Alabama	Chilton County	AL
01023	01	023	Alabama	Choctaw County	AL
01025	01	025	Alabama	Clarke County	AL
01027	01	027	Alabama	Clay County	AL
01029	01	029	Alabama	Cleburne County	AL
01031	01	031	Alabama	Coffee County	AL
01033	01	033	Alabama	Colbert County	AL
01035	01	035	Alabama	Conecuh County	AL
01037	01	037	Alabama	Coosa County	AL
01039	01	039	Alabama	Covington County	AL
01041	01	041	Alabama	Crenshaw County	AL
01043	01	043	Alabama	Cullman County	AL
01045	01	045	Alabama	Dale County	AL
01047	01	047	Alabama	Dallas County	AL
01049	01	049	Alabama	DeKalb County	AL
01051	01	051	Alabama	Elmore County	AL
01053	01	053	Alabama	Escambia County	AL
01055	01	055	Alabama	Etowah County	AL
01057	01	057	Alabama	Fayette County	AL
01059	01	059	Alabama	Franklin County	AL
01061	01	061	Alabama	Geneva County	AL
01063	01	063	Alabama	Greene County	AL
01065	01	065	Alabama	Hale County	AL
01067	01	067	Alabama	Henry County	AL
01069	01	069	Alabama	Houston County	AL
01071	01	071	Alabama	Jackson County	AL
01073	01	073	Alabama	Jefferson County	AL
01075	01	075	Alabama	Lamar County	AL
01077	01	077	Alabama	Lauderdale County	AL
01079	01	079	Alabama	Lawrence County	AL
01081	01	081	Alabama	Lee County	AL
01083	01	083	Alabama	Limestone County	AL
01085	01	085	Alabama	Lowndes County	AL
01087	01	087	Alabama	Macon County	AL
01089	01	089	Alabama	Madison County	AL
01091	01	091	Alabama	Marengo County	AL
01093	01	093	Alabama	Marion County	AL
01095	01	095	Alabama	Marshall County	AL
01097	01	097	Alabama	Mobile County	AL
01099	01	099	Alabama	Monroe County	AL
01101	01	101	Alabama	Montgomery County	AL
01103	01	103	Alabama	Morgan County	AL
01105	01	105	Alabama	Perry County	AL
01107	01	107	Alabama	Pickens County	AL
01109	01	109	Alabama	Pike County	AL
01111	01	111	Alabama	Randolph County	AL
01113	01	113	Alabama	Russell County	AL
01115	01	115	Alabama	St. Clair County	AL
01117	01	117	Alabama	Shelby County	AL
01119	01	119	Alabama	Sumter County	AL
01121	01	121	Alabama	Talladega County	AL
01123	01	123	Alabama	Tallapoosa County	AL
01125	01	125	Alabama	Tuscaloosa County	AL
01127	01	127	Alabama	Walker County	AL
01129	01	129	Alabama	Washington County	AL
01131	01	131	Alabama	Wilcox County	AL
01133	01	133	Alabama	Winston County	AL
02013	02	013	Alaska	Aleutians East Borough	AK
02016	02	016	Alaska	Aleutians West Census Area	AK
02020	02	020	Alaska	Anchorage Municipality	AK
02050	02	050	Alaska	Bethel Census Area	AK
02060	02	060	Alaska	Bristol Bay Borough	AK
02068	02	068	Alaska	Denali Borough	AK
02070	02	070	Alaska	Dillingham Census Area	AK
02090	02	090	Alaska	Fairbanks North Star Borough	AK
02100	02	100	Alaska	Haines Borough	AK
02105	02	105	Alaska	Hoonah-Angoon Census Area	AK
02110	02	110	Alaska	Juneau City and Borough	AK
02122	02	122	Alaska	Kenai Peninsula Borough	AK
02130	02	130	Alaska	Ketchikan Gateway Borough	AK
02150	02	150	Alaska	Kodiak Island Borough	AK
02164	02	164	Alaska	Lake and Peninsula Borough	AK
02170	02	170	Alaska	Matanuska-Susitna Borough	AK
02180	02	180	Alaska	Nome Census Area	AK
02185	02	185	Alaska	North Slope Borough	AK
02188	02	188	Alaska	Northwest Arctic Borough	AK
02195	02	195	Alaska	Petersburg Census Area	AK
02198	02	198	Alaska	Prince of Wales-Hyder Census Area	AK
02220	02	220	Alaska	Sitka City and Borough	AK
02230	02	230	Alaska	Skagway Municipality	AK
02240	02	240	Alaska	Southeast Fairbanks Census Area	AK
02261	02	261	Alaska	Valdez-Cordova Census Area	AK
02270	02	270	Alaska	Wade Hampton Census Area	AK
02275	02	275	Alaska	Wrangell City and Borough	AK
02282	02	282	Alaska	Yakutat City and Borough	AK
02290	02	290	Alaska	Yukon-Koyukuk Census Area	AK
04001	04	001	Arizona	Apache County	AZ
04003	04	003	Arizona	Cochise County	AZ
04005	04	005	Arizona	Coconino County	AZ
04007	04	007	Arizona	Gila County	AZ
04009	04	009	Arizona	Graham County	AZ
04011	04	011	Arizona	Greenlee County	AZ
04012	04	012	Arizona	La Paz County	AZ
04013	04	013	Arizona	Maricopa County	AZ
04015	04	015	Arizona	Mohave County	AZ
04017	04	017	Arizona	Navajo County	AZ
04019	04	019	Arizona	Pima County	AZ
04021	04	021	Arizona	Pinal County	AZ
04023	04	023	Arizona	Santa Cruz County	AZ
04025	04	025	Arizona	Yavapai County	AZ
04027	04	027	Arizona	Yuma County	AZ
05001	05	001	Arkansas	Arkansas County	AR
05003	05	003	Arkansas	Ashley County	AR
05005	05	005	Arkansas	Baxter County	AR
05007	05	007	Arkansas	Benton County	AR
05009	05	009	Arkansas	Boone County	AR
05011	05	011	Arkansas	Bradley County	AR
05013	05	013	Arkansas	Calhoun County	AR
05015	05	015	Arkansas	Carroll County	AR
05017	05	017	Arkansas	Chicot County	AR
05019	05	019	Arkansas	Clark County	AR
05021	05	021	Arkansas	Clay County	AR
05023	05	023	Arkansas	Cleburne County	AR
05025	05	025	Arkansas	Cleveland County	AR
05027	05	027	Arkansas	Columbia County	AR
05029	05	029	Arkansas	Conway County	AR
05031	05	031	Arkansas	Craighead County	AR
05033	05	033	Arkansas	Crawford County	AR
05035	05	035	Arkansas	Crittenden County	AR
05037	05	037	Arkansas	Cross County	AR
05039	05	039	Arkansas	Dallas County	AR
05041	05	041	Arkansas	Desha County	AR
05043	05	043	Arkansas	Drew County	AR
05045	05	045	Arkansas	Faulkner County	AR
05047	05	047	Arkansas	Franklin County	AR
05049	05	049	Arkansas	Fulton County	AR
05051	05	051	Arkansas	Garland County	AR
05053	05	053	Arkansas	Grant County	AR
05055	05	055	Arkansas	Greene County	AR
05057	05	057	Arkansas	Hempstead County	AR
05059	05	059	Arkansas	Hot Spring County	AR
05061	05	061	Arkansas	Howard County	AR
05063	05	063	Arkansas	Independence County	AR
05065	05	065	Arkansas	Izard County	AR
05067	05	067	Arkansas	Jackson County	AR
05069	05	069	Arkansas	Jefferson County	AR
05071	05	071	Arkansas	Johnson County	AR
05073	05	073	Arkansas	Lafayette County	AR
05075	05	075	Arkansas	Lawrence County	AR
05077	05	077	Arkansas	Lee County	AR
05079	05	079	Arkansas	Lincoln County	AR
05081	05	081	Arkansas	Little River County	AR
05083	05	083	Arkansas	Logan County	AR
05085	05	085	Arkansas	Lonoke County	AR
05087	05	087	Arkansas	Madison County	AR
05089	05	089	Arkansas	Marion County	AR
05091	05	091	Arkansas	Miller County	AR
05093	05	093	Arkansas	Mississippi County	AR
05095	05	095	Arkansas	Monroe County	AR
05097	05	097	Arkansas	Montgomery County	AR
05099	05	099	Arkansas	Nevada County	AR
05101	05	101	Arkansas	Newton County	AR
05103	05	103	Arkansas	Ouachita County	AR
05105	05	105	Arkansas	Perry County	AR
05107	05	107	Arkansas	Phillips County	AR
05109	05	109	Arkansas	Pike County	AR
05111	05	111	Arkansas	Poinsett County	AR
05113	05	113	Arkansas	Polk County	AR
05115	05	115	Arkansas	Pope County	AR
05117	05	117	Arkansas	Prairie County	AR
05119	05	119	Arkansas	Pulaski County	AR
05121	05	121	Arkansas	Randolph County	AR
05123	05	123	Arkansas	St. Francis County	AR
05125	05	125	Arkansas	Saline County	AR
05127	05	127	Arkansas	Scott County	AR
05129	05	129	Arkansas	Searcy County	AR
05131	05	131	Arkansas	Sebastian County	AR
05133	05	133	Arkansas	Sevier County	AR
05135	05	135	Arkansas	Sharp County	AR
05137	05	137	Arkansas	Stone County	AR
05139	05	139	Arkansas	Union County	AR
05141	05	141	Arkansas	Van Buren County	AR
05143	05	143	Arkansas	Washington County	AR
05145	05	145	Arkansas	White County	AR
05147	05	147	Arkansas	Woodruff County	AR
05149	05	149	Arkansas	Yell County	AR
06001	06	001	California	Alameda County	CA
06003	06	003	California	Alpine County	CA
06005	06	005	California	Amador County	CA
06007	06	007	California	Butte County	CA
06009	06	009	California	Calaveras County	CA
06011	06	011	California	Colusa County	CA
06013	06	013	California	Contra Costa County	CA
06015	06	015	California	Del Norte County	CA
06017	06	017	California	El Dorado County	CA
06019	06	019	California	Fresno County	CA
06021	06	021	California	Glenn County	CA
06023	06	023	California	Humboldt County	CA
06025	06	025	California	Imperial County	CA
06027	06	027	California	Inyo County	CA
06029	06	029	California	Kern County	CA
06031	06	031	California	Kings County	CA
06033	06	033	California	Lake County	CA
06035	06	035	California	Lassen County	CA
06037	06	037	California	Los Angeles County	CA
06039	06	039	California	Madera County	CA
06041	06	041	California	Marin County	CA
06043	06	043	California	Mariposa County	CA
06045	06	045	California	Mendocino County	CA
06047	06	047	California	Merced County	CA
06049	06	049	California	Modoc County	CA
06051	06	051	California	Mono County	CA
06053	06	053	California	Monterey County	CA
06055	06	055	California	Napa County	CA
06057	06	057	California	Nevada County	CA
06059	06	059	California	Orange County	CA
06061	06	061	California	Placer County	CA
06063	06	063	California	Plumas County	CA
06065	06	065	California	Riverside County	CA
06067	06	067	California	Sacramento County	CA
06069	06	069	California	San Benito County	CA
06071	06	071	California	San Bernardino County	CA
06073	06	073	California	San Diego County	CA
06075	06	075	California	San Francisco County	CA
06077	06	077	California	San Joaquin County	CA
06079	06	079	California	San Luis Obispo County	CA
06081	06	081	California	San Mateo County	CA
06083	06	083	California	Santa Barbara County	CA
06085	06	085	California	Santa Clara County	CA
06087	06	087	California	Santa Cruz County	CA
06089	06	089	California	Shasta County	CA
06091	06	091	California	Sierra County	CA
06093	06	093	California	Siskiyou County	CA
06095	06	095	California	Solano County	CA
06097	06	097	California	Sonoma County	CA
06099	06	099	California	Stanislaus County	CA
06101	06	101	California	Sutter County	CA
06103	06	103	California	Tehama County	CA
06105	06	105	California	Trinity County	CA
06107	06	107	California	Tulare County	CA
06109	06	109	California	Tuolumne County	CA
06111	06	111	California	Ventura County	CA
06113	06	113	California	Yolo County	CA
06115	06	115	California	Yuba County	CA
08001	08	001	Colorado	Adams County	CO
08003	08	003	Colorado	Alamosa County	CO
08005	08	005	Colorado	Arapahoe County	CO
08007	08	007	Colorado	Archuleta County	CO
08009	08	009	Colorado	Baca County	CO
08011	08	011	Colorado	Bent County	CO
08013	08	013	Colorado	Boulder County	CO
08014	08	014	Colorado	Broomfield County	CO
08015	08	015	Colorado	Chaffee County	CO
08017	08	017	Colorado	Cheyenne County	CO
08019	08	019	Colorado	Clear Creek County	CO
08021	08	021	Colorado	Conejos County	CO
08023	08	023	Colorado	Costilla County	CO
08025	08	025	Colorado	Crowley County	CO
08027	08	027	Colorado	Custer County	CO
08029	08	029	Colorado	Delta County	CO
08031	08	031	Colorado	Denver County	CO
08033	08	033	Colorado	Dolores County	CO
08035	08	035	Colorado	Douglas County	CO
08037	08	037	Colorado	Eagle County	CO
08039	08	039	Colorado	Elbert County	CO
08041	08	041	Colorado	El Paso County	CO
08043	08	043	Colorado	Fremont County	CO
08045	08	045	Colorado	Garfield County	CO
08047	08	047	Colorado	Gilpin County	CO
08049	08	049	Colorado	Grand County	CO
08051	08	051	Colorado	Gunnison County	CO
08053	08	053	Colorado	Hinsdale County	CO
08055	08	055	Colorado	Huerfano County	CO
08057	08	057	Colorado	Jackson County	CO
08059	08	059	Colorado	Jefferson County	CO
08061	08	061	Colorado	Kiowa County	CO
08063	08	063	Colorado	Kit Carson County	CO
08065	08	065	Colorado	Lake County	CO
08067	08	067	Colorado	La Plata County	CO
08069	08	069	Colorado	Larimer County	CO
08071	08	071	Colorado	Las Animas County	CO
08073	08	073	Colorado	Lincoln County	CO
08075	08	075	Colorado	Logan County	CO
08077	08	077	Colorado	Mesa County	CO
08079	08	079	Colorado	Mineral County	CO
08081	08	081	Colorado	Moffat County	CO
08083	08	083	Colorado	Montezuma County	CO
08085	08	085	Colorado	Montrose County	CO
08087	08	087	Colorado	Morgan County	CO
08089	08	089	Colorado	Otero County	CO
08091	08	091	Colorado	Ouray County	CO
08093	08	093	Colorado	Park County	CO
08095	08	095	Colorado	Phillips County	CO
08097	08	097	Colorado	Pitkin County	CO
08099	08	099	Colorado	Prowers County	CO
08101	08	101	Colorado	Pueblo County	CO
08103	08	103	Colorado	Rio Blanco County	CO
08105	08	105	Colorado	Rio Grande County	CO
08107	08	107	Colorado	Routt County	CO
08109	08	109	Colorado	Saguache County	CO
08111	08	111	Colorado	San Juan County	CO
08113	08	113	Colorado	San Miguel County	CO
08115	08	115	Colorado	Sedgwick County	CO
08117	08	117	Colorado	Summit County	CO
08119	08	119	Colorado	Teller County	CO
08121	08	121	Colorado	Washington County	CO
08123	08	123	Colorado	Weld County	CO
08125	08	125	Colorado	Yuma County	CO
09001	09	001	Connecticut	Fairfield County	CT
09003	09	003	Connecticut	Hartford County	CT
09005	09	005	Connecticut	Litchfield County	CT
09007	09	007	Connecticut	Middlesex County	CT
09009	09	009	Connecticut	New Haven County	CT
09011	09	011	Connecticut	New London County	CT
09013	09	013	Connecticut	Tolland County	CT
09015	09	015	Connecticut	Windham County	CT
10001	10	001	Delaware	Kent County	DE
10003	10	003	Delaware	New Castle County	DE
10005	10	005	Delaware	Sussex County	DE
11001	11	001	District of Columbia	District of Columbia	DC
12001	12	001	Florida	Alachua County	FL
12003	12	003	Florida	Baker County	FL
12005	12	005	Florida	Bay County	FL
12007	12	007	Florida	Bradford County	FL
12009	12	009	Florida	Brevard County	FL
12011	12	011	Florida	Broward County	FL
12013	12	013	Florida	Calhoun County	FL
12015	12	015	Florida	Charlotte County	FL
12017	12	017	Florida	Citrus County	FL
12019	12	019	Florida	Clay County	FL
12021	12	021	Florida	Collier County	FL
12023	12	023	Florida	Columbia County	FL
12027	12	027	Florida	DeSoto County	FL
12029	12	029	Florida	Dixie County	FL
12031	12	031	Florida	Duval County	FL
12033	12	033	Florida	Escambia County	FL
12035	12	035	Florida	Flagler County	FL
12037	12	037	Florida	Franklin County	FL
12039	12	039	Florida	Gadsden County	FL
12041	12	041	Florida	Gilchrist County	FL
12043	12	043	Florida	Glades County	FL
12045	12	045	Florida	Gulf County	FL
12047	12	047	Florida	Hamilton County	FL
12049	12	049	Florida	Hardee County	FL
12051	12	051	Florida	Hendry County	FL
12053	12	053	Florida	Hernando County	FL
12055	12	055	Florida	Highlands County	FL
12057	12	057	Florida	Hillsborough County	FL
12059	12	059	Florida	Holmes County	FL
12061	12	061	Florida	Indian River County	FL
12063	12	063	Florida	Jackson County	FL
12065	12	065	Florida	Jefferson County	FL
12067	12	067	Florida	Lafayette County	FL
12069	12	069	Florida	Lake County	FL
12071	12	071	Florida	Lee County	FL
12073	12	073	Florida	Leon County	FL
